"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"1","Aatrox","Fighter","TOP","S",57.63,"-31.86",0.4768,0.9163,0.0662,0.1198,1.77,"13_1"
"2","Ahri","Mage","MID","S",57.18,"4.55",0.495,0.9465,0.0581,0.0173,2.58,"13_1"
"3","Akali","Assassin","MID","S",65.49,"4.33",0.4841,0.7574,0.0811,0.1302,2.37,"13_1"
"4","Akali","Assassin","TOP","C",39.63,"-1.51",0.4592,0.235,0.0255,0.1302,2,"13_1"
"5","Akshan","Marksman","MID","A",49.39,"0.34",0.5162,0.6603,0.0275,0.0379,2.26,"13_1"
"6","Akshan","Marksman","TOP","B",44.58,"2.61",0.5169,0.2556,0.0101,0.0379,2,"13_1"
"7","Alistar","Tank","SUPPORT","B",43.21,"-1.03",0.5009,0.9595,0.0267,0.006,2.46,"13_1"
"8","Amumu","Tank","JUNGLE","S",57.41,"16.78",0.5287,0.4907,0.0444,0.052,2.82,"13_1"
"9","Amumu","Tank","SUPPORT","A",52.62,"1.09",0.5239,0.5005,0.0409,0.052,2.18,"13_1"
"10","Anivia","Mage","MID","S",59.33,"9.21",0.5322,0.8604,0.036,0.0356,3.03,"13_1"
"11","Annie","Mage","MID","C",39.56,"-4.78",0.4913,0.7496,0.0129,0.0037,2.3,"13_1"
"12","Annie","Mage","SUPPORT","D",26.8,"0.67",0.47,0.1305,0.0021,0.0037,2.27,"13_1"
"13","Aphelios","Marksman","ADC","D",24.82,"-4.83",0.466,0.9677,0.0348,0.0051,1.95,"13_1"
"14","Ashe","Marksman","SUPPORT","S",67.31,"18.82",0.5002,0.5573,0.0875,0.0603,2.44,"13_1"
"15","Ashe","Marksman","ADC","B",46.2,"-4.93",0.5027,0.4222,0.0649,0.0603,2.43,"13_1"
"16","Aurelion Sol","Mage","MID","C",41.32,"-1.21",0.5042,0.8799,0.0071,0.0027,2.54,"13_1"
"17","Azir","Mage","MID","C",36.92,"-0.97",0.4631,0.9128,0.024,0.0051,2.12,"13_1"
"18","Bard","Support","SUPPORT","A",48.9,"-0.29",0.503,0.9718,0.0325,0.0048,3.1,"13_1"
"19","Bel'Veth","Fighter","JUNGLE","A",49.9,"-3.44",0.5094,0.943,0.0389,0.082,2.39,"13_1"
"20","Blitzcrank","Tank","SUPPORT","God",70.3,"3.05",0.5175,0.9728,0.0749,0.1825,2.46,"13_1"
"21","Brand","Mage","SUPPORT","B",44.57,"-7.24",0.5072,0.7674,0.0332,0.0403,1.85,"13_1"
"22","Brand","Mage","MID","C",39.54,"-2.39",0.5069,0.1584,0.0074,0.0441,2.04,"13_1"
"23","Braum","Support","SUPPORT","C",38.3,"-2.6",0.4889,0.9855,0.0171,0.0027,2.68,"13_1"
"24","Caitlyn","Marksman","ADC","God",93.3,"1.35",0.5037,0.9612,0.2028,0.1856,2.3,"13_1"
"25","Camille","Fighter","TOP","S",58.81,"-0.44",0.5033,0.9366,0.059,0.0254,1.97,"13_1"
"26","Cassiopeia","Mage","MID","A",48.79,"4.1",0.5164,0.7788,0.0264,0.0168,2.25,"13_1"
"27","Cassiopeia","Mage","TOP","B",44.55,"2.69",0.5277,0.1388,0.0051,0.0168,1.95,"13_1"
"28","Cho'Gath","Tank","MID","B",45.34,"-1.6",0.5313,0.2082,0.0045,0.0076,2.47,"13_1"
"29","Cho'Gath","Tank","TOP","B",44.76,"-1.1",0.5027,0.6537,0.0181,0.0076,2.06,"13_1"
"30","Corki","Marksman","MID","C",36.75,"-6.42",0.4861,0.902,0.0087,0.0016,2.23,"13_1"
"31","Darius","Fighter","TOP","God",77.98,"-7",0.4988,0.9472,0.0934,0.2242,1.87,"13_1"
"32","Diana","Fighter","JUNGLE","S",59.94,"-15.21",0.5055,0.7061,0.0661,0.046,2.55,"13_1"
"33","Diana","Fighter","MID","B",44.17,"-4.78",0.4984,0.2749,0.0245,0.046,2.09,"13_1"
"34","Dr. Mundo","Marksman","TOP","A",51.81,"-35.52",0.4964,0.8579,0.0407,0.1003,1.86,"13_1"
"35","Draven","Fighter","ADC","A",51.04,"-0.85",0.4966,0.9604,0.0755,0.2214,2.12,"13_1"
"36","Ekko","Assassin","JUNGLE","S",65.07,"-5.43",0.5098,0.7107,0.0727,0.0621,2.81,"13_1"
"37","Ekko","Assassin","MID","B",46.68,"-2.98",0.5018,0.2644,0.0263,0.0621,2.31,"13_1"
"38","Elise","Mage","JUNGLE","God",69.88,"16.71",0.5237,0.9695,0.0693,0.1173,2.9,"13_1"
"39","Evelynn","Assassin","JUNGLE","A",54.36,"-4.53",0.5054,0.9806,0.0444,0.0779,3.01,"13_1"
"40","Ezreal","Marksman","ADC","God",74.09,"-4.86",0.4839,0.9475,0.1855,0.0353,2.4,"13_1"
"41","Fiddlesticks","Mage","JUNGLE","A",52.68,"4.53",0.5209,0.8592,0.0368,0.0287,2.84,"13_1"
"42","Fiddlesticks","Mage","SUPPORT","C",36.06,"-1.15",0.5143,0.1034,0.0038,0.0274,2.11,"13_1"
"43","Fiora","Fighter","TOP","God",71.25,"-20.63",0.5072,0.9761,0.0762,0.2128,1.72,"13_1"
"44","Fizz","Assassin","MID","B",47.52,"-3.08",0.4973,0.9484,0.0308,0.0312,2.4,"13_1"
"45","Galio","Tank","MID","A",49.3,"-1.53",0.5132,0.8094,0.0231,0.0031,2.71,"13_1"
"46","Galio","Tank","SUPPORT","D",31.58,"-5.57",0.4887,0.1556,0.0042,0.0032,2.29,"13_1"
"47","Gangplank","Fighter","TOP","God",69.17,"2.93",0.5056,0.7971,0.0797,0.0981,2.02,"13_1"
"48","Gangplank","Fighter","MID","B",46.18,"-2.91",0.51,0.1932,0.0211,0.0981,2.2,"13_1"
"49","Garen","Fighter","TOP","S",57.13,"-0.12",0.5012,0.8614,0.0548,0.0154,2.03,"13_1"
"50","Gnar","Fighter","TOP","B",44.28,"2.92",0.4868,0.9681,0.0286,0.0035,1.9,"13_1"
"51","Gragas","Fighter","JUNGLE","B",46.99,"13.67",0.51,0.4536,0.0253,0.0085,3.05,"13_1"
"52","Gragas","Fighter","MID","B",45.69,"0.48",0.5246,0.1147,0.0065,0.0085,2.66,"13_1"
"53","Gragas","Fighter","TOP","B",44.63,"6.76",0.4921,0.3679,0.0214,0.0085,2.2,"13_1"
"54","Graves","Marksman","JUNGLE","S",58.59,"-1.82",0.4967,0.896,0.0662,0.0346,2.66,"13_1"
"55","Gwen","Fighter","TOP","B",44.69,"-2.82",0.493,0.8687,0.0285,0.0079,1.76,"13_1"
"56","Hecarim","Fighter","JUNGLE","A",51.12,"-27.21",0.4724,0.9904,0.0559,0.1013,2.58,"13_1"
"57","Heimerdinger","Mage","SUPPORT","A",52.08,"-1.16",0.5187,0.6865,0.0407,0.1012,2.1,"13_1"
"58","Heimerdinger","Mage","MID","B",43.05,"-5.91",0.5232,0.1438,0.0084,0.1012,2.01,"13_1"
"59","Illaoi","Fighter","TOP","A",55.97,"2.28",0.5229,0.9406,0.0455,0.0675,1.48,"13_1"
"60","Irelia","Fighter","MID","S",63.06,"8.17",0.5075,0.5098,0.067,0.1682,1.85,"13_1"
"61","Irelia","Fighter","TOP","S",61.28,"1.45",0.5,0.4772,0.0623,0.1682,1.67,"13_1"
"62","Ivern","Support","JUNGLE","B",44.56,"11.2",0.5092,0.807,0.0113,0.0044,3.66,"13_1"
"63","Ivern","Support","SUPPORT","D",25.15,"-4.12",0.4589,0.1094,0.0014,0.0041,2.46,"13_1"
"64","Janna","Support","SUPPORT","A",56.18,"-6.27",0.513,0.979,0.045,0.015,3.18,"13_1"
"65","Jarvan IV","Tank","JUNGLE","B",41.86,"3.99",0.4894,0.8795,0.0221,0.002,3.07,"13_1"
"66","Jax","Fighter","TOP","God",93.31,"27.78",0.5194,0.8583,0.1204,0.2185,1.75,"13_1"
"67","Jax","Fighter","JUNGLE","C",38.34,"13.6",0.498,0.1119,0.0158,0.2185,2.21,"13_1"
"68","Jayce","Fighter","TOP","A",56.48,"15.73",0.5029,0.7792,0.0541,0.0213,1.88,"13_1"
"69","Jayce","Fighter","MID","B",47.28,"1.91",0.5303,0.2048,0.0138,0.0213,2.26,"13_1"
"70","Jhin","Marksman","ADC","God",83.12,"3.82",0.5143,0.9256,0.1741,0.034,3.06,"13_1"
"71","Jinx","Marksman","ADC","B",47.97,"-3.01",0.5067,0.9856,0.0744,0.0054,2.32,"13_1"
"72","K'Sante","Fighter","TOP","S",62.32,"-15.1",0.4752,0.9324,0.0724,0.1511,1.97,"13_1"
"73","Kai'Sa","Marksman","ADC","God",81.95,"-1.78",0.5083,0.9692,0.1891,0.0381,2.51,"13_1"
"74","Kalista","Marksman","ADC","D",27.85,"-2.37",0.4795,0.8637,0.0266,0.0076,2.22,"13_1"
"75","Karma","Mage","SUPPORT","God",71.63,"9.2",0.4952,0.8331,0.0999,0.0342,2.8,"13_1"
"76","Karma","Mage","MID","B",47.01,"0",0.5063,0.1041,0.0129,0.0342,3.17,"13_1"
"77","Karthus","Mage","MID","C",36.86,"-8.67",0.4937,0.1272,0.0037,0.0167,2.28,"13_1"
"78","Karthus","Mage","ADC","C",36.72,"1.43",0.5328,0.2601,0.0093,0.0167,2.28,"13_1"
"79","Karthus","Mage","JUNGLE","C",36.17,"8.25",0.484,0.5262,0.0164,0.0167,2.53,"13_1"
"80","Kassadin","Assassin","MID","God",88.29,"26.27",0.523,0.9744,0.0772,0.3628,2.71,"13_1"
"81","Katarina","Assassin","MID","S",61.76,"2.85",0.4873,0.955,0.0744,0.0812,2.34,"13_1"
"82","Kayle","Fighter","TOP","B",45.73,"1.4",0.5092,0.7982,0.0213,0.0046,1.82,"13_1"
"83","Kayle","Fighter","MID","C",38.48,"-6.88",0.5045,0.1668,0.0038,0.0046,2.19,"13_1"
"84","Kayn","Fighter","JUNGLE","A",55.19,"-22.06",0.4823,0.9718,0.0668,0.0546,2.39,"13_1"
"85","Kennen","Mage","MID","C",37.56,"-6.98",0.4976,0.1606,0.0025,0.0032,2.35,"13_1"
"86","Kennen","Mage","TOP","C",37.33,"2.31",0.4801,0.7894,0.0118,0.0032,1.93,"13_1"
"87","Kha'Zix","Assassin","JUNGLE","A",51.16,"-5.19",0.4988,0.9825,0.0478,0.0194,2.58,"13_1"
"88","Kindred","Marksman","JUNGLE","A",56.35,"-7.19",0.494,0.9633,0.062,0.0883,2.26,"13_1"
"89","Kled","Fighter","TOP","A",51.87,"4.63",0.5203,0.8605,0.023,0.0095,2.39,"13_1"
"90","Kled","Fighter","MID","B",47.23,"-4.27",0.5393,0.1175,0.0029,0.0095,2.65,"13_1"
"91","Kog'Maw","Marksman","ADC","C",36.63,"0.6",0.5242,0.8694,0.0183,0.0041,2.23,"13_1"
"92","LeBlanc","Assassin","MID","B",42.45,"-4.58",0.4647,0.9129,0.029,0.0404,2.75,"13_1"
"93","Lee Sin","Fighter","JUNGLE","S",65.07,"-7.81",0.4713,0.9208,0.0954,0.0407,2.66,"13_1"
"94","Leona","Tank","SUPPORT","A",52,"-3.22",0.5011,0.9881,0.0497,0.0418,2.38,"13_1"
"95","Lillia","Fighter","JUNGLE","B",43.35,"-16.96",0.4972,0.8584,0.0254,0.0152,2.79,"13_1"
"96","Lillia","Fighter","TOP","D",30.76,"-9.48",0.4617,0.1132,0.0037,0.0156,1.89,"13_1"
"97","Lissandra","Mage","MID","A",51.49,"6.18",0.5081,0.9366,0.0353,0.0089,2.52,"13_1"
"98","Lucian","Marksman","ADC","A",56.1,"-0.73",0.4961,0.9322,0.1096,0.0545,2.29,"13_1"
"99","Lulu","Support","SUPPORT","God",74.9,"1.34",0.4989,0.9761,0.0958,0.0996,3.06,"13_1"
"100","Lux","Mage","SUPPORT","God",93.53,"0.79",0.5119,0.7069,0.1365,0.1076,2.56,"13_1"
"101","Lux","Mage","MID","S",63.16,"4.64",0.5154,0.2649,0.0512,0.1076,3.03,"13_1"
"102","Malphite","Tank","TOP","A",50.91,"1.78",0.4954,0.6752,0.0336,0.0258,2.4,"13_1"
"103","Malphite","Tank","MID","B",43.78,"-3.18",0.5167,0.1458,0.0072,0.0258,2.53,"13_1"
"104","Malphite","Tank","SUPPORT","D",30.27,"3.6",0.4829,0.1412,0.0081,0.0265,1.96,"13_1"
"105","Malzahar","Mage","MID","A",52.98,"-0.67",0.5152,0.909,0.0369,0.0369,2.35,"13_1"
"106","Maokai","Tank","JUNGLE","God",97.26,"50",0.5431,0.754,0.0984,0.275,3.02,"13_1"
"107","Maokai","Tank","SUPPORT","A",48.63,"0.76",0.5142,0.2067,0.0263,0.275,2.27,"13_1"
"108","Master Yi","Assassin","JUNGLE","S",65.74,"-22.57",0.5035,0.933,0.0711,0.183,2.13,"13_1"
"109","Miss Fortune","Marksman","ADC","A",50.48,"-9.29",0.5044,0.879,0.0852,0.021,2.26,"13_1"
"110","Miss Fortune","Marksman","SUPPORT","D",26.27,"0",0.4598,0.1021,0.0089,0.021,2.08,"13_1"
"111","Mordekaiser","Fighter","TOP","S",65.53,"-20.57",0.5023,0.7018,0.0682,0.1483,1.88,"13_1"
"112","Mordekaiser","Fighter","JUNGLE","B",42.54,"-21.28",0.499,0.2347,0.023,0.1483,2.39,"13_1"
"113","Morgana","Mage","SUPPORT","God",71.5,"-8.61",0.5006,0.8994,0.0726,0.2567,2.52,"13_1"
"114","Nami","Support","SUPPORT","God",91.91,"5.24",0.5161,0.997,0.1302,0.0689,3.29,"13_1"
"115","Nasus","Fighter","TOP","A",56.34,"-6.42",0.5114,0.7872,0.046,0.0419,1.99,"13_1"
"116","Nasus","Fighter","MID","B",46.24,"-3.06",0.5366,0.1469,0.0052,0.0419,2.39,"13_1"
"117","Nautilus","Tank","SUPPORT","S",63.34,"4.52",0.5009,0.9821,0.0783,0.0762,2.31,"13_1"
"118","Neeko","Mage","MID","B",44.31,"-1.84",0.5121,0.5737,0.0142,0.0041,2.36,"13_1"
"119","Neeko","Mage","TOP","B",42.13,"4.63",0.5182,0.1201,0.0021,0.0041,2.03,"13_1"
"120","Neeko","Mage","SUPPORT","D",34.23,"-3.16",0.5031,0.2502,0.0061,0.0043,2.06,"13_1"
"121","Nidalee","Assassin","JUNGLE","B",42.38,"9.47",0.4746,0.8862,0.0333,0.0128,2.87,"13_1"
"122","Nilah","Marksman","ADC","C",40.08,"-10.72",0.5281,0.9635,0.0264,0.0499,2.23,"13_1"
"123","Nocturne","Assassin","JUNGLE","A",48.19,"-3.38",0.508,0.9264,0.0347,0.0205,2.6,"13_1"
"124","Nunu","Tank","JUNGLE","A",49.68,"7.73",0.4934,0.9122,0.044,0.013,2.8,"13_1"
"125","Olaf","Fighter","TOP","A",52.96,"3.76",0.5221,0.8016,0.0334,0.0237,1.87,"13_1"
"126","Olaf","Fighter","JUNGLE","D",33.51,"6.23",0.495,0.1704,0.0063,0.0237,2.33,"13_1"
"127","Orianna","Mage","MID","B",47.84,"1.89",0.5036,0.9229,0.0236,0.0016,2.76,"13_1"
"128","Ornn","Tank","TOP","A",56.9,"4.74",0.5131,0.9304,0.0406,0.0064,2.47,"13_1"
"129","Pantheon","Fighter","MID","B",46.39,"-3.79",0.5196,0.2619,0.0159,0.0116,2.36,"13_1"
"130","Pantheon","Fighter","TOP","B",44.11,"1.97",0.5014,0.312,0.0174,0.0116,2.03,"13_1"
"131","Pantheon","Fighter","SUPPORT","D",34.82,"-4.36",0.4844,0.3294,0.0203,0.0116,1.92,"13_1"
"132","Poppy","Tank","TOP","B",43.41,"1.47",0.5072,0.4033,0.0104,0.0052,2.13,"13_1"
"133","Poppy","Tank","JUNGLE","D",35.48,"7.8",0.4851,0.4778,0.012,0.0052,2.7,"13_1"
"134","Pyke","Support","SUPPORT","S",65.3,"-4.93",0.4929,0.9485,0.0826,0.1391,2.21,"13_1"
"135","Qiyana","Assassin","MID","C",41.02,"-0.52",0.481,0.818,0.0262,0.0094,2.09,"13_1"
"136","Qiyana","Assassin","JUNGLE","D",21.3,"17.81",0.4403,0.1183,0.0033,0.0094,2.23,"13_1"
"137","Quinn","Marksman","TOP","A",48.15,"4.4",0.5327,0.7705,0.013,0.006,1.93,"13_1"
"138","Quinn","Marksman","MID","C",39.49,"-9.78",0.5107,0.1107,0.0017,0.006,2.29,"13_1"
"139","Rakan","Support","SUPPORT","A",53.44,"1.57",0.5154,0.985,0.0396,0.0022,2.97,"13_1"
"140","Rammus","Tank","JUNGLE","A",49.09,"-29.03",0.5119,0.908,0.0264,0.0872,3.13,"13_1"
"141","Rek'Sai","Fighter","JUNGLE","C",36.5,"10.41",0.4873,0.9543,0.0169,0.008,2.44,"13_1"
"142","Rell","Tank","SUPPORT","B",46.01,"-1.97",0.5222,0.9875,0.0215,0.0038,2.5,"13_1"
"143","Renata Glasc","Support","SUPPORT","A",50.96,"-4.61",0.5127,0.9902,0.0367,0.0179,2.75,"13_1"
"144","Renekton","Fighter","TOP","A",49.03,"0.41",0.4848,0.8259,0.0444,0.0245,1.8,"13_1"
"145","Renekton","Fighter","MID","C",40.37,"-3.18",0.5087,0.1609,0.0088,0.0245,2.06,"13_1"
"146","Rengar","Assassin","JUNGLE","B",45.48,"1.97",0.487,0.7649,0.0385,0.0752,2.35,"13_1"
"147","Rengar","Assassin","TOP","B",42.53,"5.55",0.5026,0.2074,0.0122,0.0752,1.95,"13_1"
"148","Riven","Fighter","TOP","A",50.22,"-0.98",0.4931,0.9085,0.0419,0.0142,1.9,"13_1"
"149","Rumble","Fighter","MID","B",43.29,"-1.34",0.5056,0.4302,0.0122,0.0054,2.54,"13_1"
"150","Rumble","Fighter","TOP","C",37.83,"5.47",0.4783,0.4254,0.0106,0.0054,2.14,"13_1"
"151","Rumble","Fighter","JUNGLE","D",31.32,"15.21",0.4774,0.1162,0.0034,0.0054,2.8,"13_1"
"152","Ryze","Mage","MID","S",64.07,"23.14",0.5006,0.8806,0.0745,0.0414,2.47,"13_1"
"153","Ryze","Mage","TOP","B",43.12,"12.77",0.5092,0.1053,0.009,0.0414,2.07,"13_1"
"154","Samira","Marksman","ADC","God",75.02,"5.3",0.5201,0.9808,0.1197,0.2631,2.37,"13_1"
"155","Sejuani","Tank","JUNGLE","A",54.13,"3.34",0.5069,0.8196,0.0431,0.0091,3.27,"13_1"
"156","Sejuani","Tank","TOP","C",40.44,"0.37",0.4897,0.1339,0.0071,0.0091,2.4,"13_1"
"157","Senna","Marksman","SUPPORT","A",50.22,"-5.87",0.4945,0.9315,0.0482,0.0137,2.54,"13_1"
"158","Seraphine","Mage","SUPPORT","A",48.91,"-3.92",0.4966,0.6553,0.044,0.0122,2.49,"13_1"
"159","Seraphine","Mage","MID","C",41.28,"0",0.4954,0.1179,0.0069,0.0122,2.88,"13_1"
"160","Seraphine","Mage","ADC","C",41.01,"2.69",0.5269,0.2233,0.0119,0.0122,2.98,"13_1"
"161","Sett","Fighter","TOP","S",63.67,"-9",0.503,0.8183,0.074,0.0449,1.78,"13_1"
"162","Shaco","Assassin","JUNGLE","S",59.35,"-9.54",0.4955,0.8048,0.0575,0.1581,2.78,"13_1"
"163","Shaco","Assassin","SUPPORT","C",37.4,"-5.7",0.5011,0.1361,0.0097,0.1581,2.37,"13_1"
"164","Shen","Tank","TOP","S",64.41,"3.19",0.5213,0.8669,0.0479,0.0095,3.03,"13_1"
"165","Shyvana","Fighter","TOP","C",41.51,"9.41",0.5145,0.1371,0.0022,0.003,2.04,"13_1"
"166","Shyvana","Fighter","JUNGLE","C",40.86,"0.74",0.5133,0.8018,0.0137,0.0028,2.55,"13_1"
"167","Singed","Tank","MID","A",51.22,"-7.41",0.5515,0.1951,0.005,0.0061,2.83,"13_1"
"168","Singed","Tank","TOP","B",47.15,"-0.5",0.5145,0.6962,0.0188,0.0061,2.03,"13_1"
"169","Sion","Tank","TOP","A",50.99,"5.99",0.5046,0.8293,0.0416,0.012,1.67,"13_1"
"170","Sivir","Marksman","ADC","B",42.68,"6.06",0.5034,0.9806,0.0534,0.0069,2.48,"13_1"
"171","Skarner","Fighter","JUNGLE","C",41.17,"6.41",0.5215,0.7837,0.0076,0.0015,2.75,"13_1"
"172","Skarner","Fighter","TOP","C",39.74,"1.99",0.4996,0.1916,0.0017,0.0014,2.27,"13_1"
"173","Sona","Support","SUPPORT","S",57.9,"1.03",0.5303,0.9761,0.0429,0.0027,2.99,"13_1"
"174","Soraka","Support","SUPPORT","S",58.46,"-6.06",0.5099,0.9645,0.0578,0.0248,2.79,"13_1"
"175","Swain","Mage","SUPPORT","A",51.3,"-3.9",0.5166,0.523,0.0385,0.0373,2.44,"13_1"
"176","Swain","Mage","MID","A",50.9,"-2.52",0.5237,0.3241,0.0202,0.0373,2.77,"13_1"
"177","Sylas","Mage","JUNGLE","God",74.63,"-16.47",0.495,0.5053,0.0873,0.2296,2.52,"13_1"
"178","Sylas","Mage","MID","God",68.15,"6.88",0.4961,0.4368,0.0747,0.2296,2.17,"13_1"
"179","Syndra","Mage","MID","S",57.92,"4.43",0.4965,0.922,0.062,0.038,2.31,"13_1"
"180","Tahm Kench","Support","TOP","B",44.5,"2.76",0.4925,0.6779,0.0179,0.0079,2.37,"13_1"
"181","Tahm Kench","Support","SUPPORT","D",29.71,"-7.38",0.4763,0.2321,0.0055,0.0079,2.34,"13_1"
"182","Taliyah","Mage","MID","B",43.75,"-0.27",0.5108,0.5106,0.0131,0.004,2.37,"13_1"
"183","Taliyah","Mage","JUNGLE","D",33.91,"10.06",0.4844,0.3726,0.0096,0.004,2.59,"13_1"
"184","Talon","Assassin","MID","B",47.69,"-0.28",0.4985,0.7224,0.0337,0.0131,2.23,"13_1"
"185","Talon","Assassin","JUNGLE","D",33.47,"7.92",0.4795,0.2453,0.0122,0.0131,2.48,"13_1"
"186","Taric","Support","SUPPORT","B",46.41,"1.48",0.5244,0.8917,0.0174,0.0031,2.78,"13_1"
"187","Teemo","Marksman","TOP","A",50.27,"-9.6",0.4999,0.7421,0.0376,0.063,1.75,"13_1"
"188","Thresh","Support","SUPPORT","S",67.37,"0.51",0.5008,0.9852,0.0893,0.0214,2.64,"13_1"
"189","Tristana","Marksman","ADC","A",52.15,"-1.96",0.5138,0.7918,0.0786,0.0371,2.4,"13_1"
"190","Tristana","Marksman","MID","B",46.42,"-0.74",0.5262,0.1785,0.0145,0.0371,2.19,"13_1"
"191","Trundle","Fighter","JUNGLE","D",34.82,"-2.89",0.4801,0.7033,0.0142,0.009,2.59,"13_1"
"192","Trundle","Fighter","TOP","D",34.75,"4.68",0.4885,0.2342,0.0044,0.0093,1.63,"13_1"
"193","Tryndamere","Fighter","TOP","B",43.86,"-4.66",0.4918,0.7526,0.0257,0.0244,1.8,"13_1"
"194","Tryndamere","Fighter","MID","B",42.39,"-3.89",0.5221,0.1688,0.0055,0.0244,2.17,"13_1"
"195","Twisted Fate","Mage","MID","B",45.34,"5.08",0.4929,0.923,0.0272,0.002,2.44,"13_1"
"196","Twitch","Marksman","ADC","A",48.26,"-3.8",0.5129,0.5966,0.0592,0.1124,2.45,"13_1"
"197","Twitch","Marksman","SUPPORT","C",40.21,"-1.83",0.4859,0.3003,0.0286,0.1124,2.09,"13_1"
"198","Udyr","Fighter","JUNGLE","S",67.49,"-18.46",0.5254,0.8053,0.0618,0.1975,2.72,"13_1"
"199","Udyr","Fighter","TOP","B",46.59,"0",0.5187,0.1684,0.0129,0.1975,1.95,"13_1"
"200","Urgot","Fighter","TOP","A",49.23,"3",0.5131,0.9301,0.0267,0.0085,1.97,"13_1"
"201","Varus","Marksman","ADC","S",59.6,"4.29",0.5018,0.8555,0.1157,0.0382,2.42,"13_1"
"202","Varus","Marksman","MID","C",37.55,"-5.7",0.4805,0.1197,0.0159,0.0382,2.08,"13_1"
"203","Vayne","Marksman","ADC","C",39.15,"-10.24",0.492,0.8132,0.0579,0.054,2.09,"13_1"
"204","Vayne","Marksman","TOP","C",39.05,"1.82",0.4985,0.1596,0.0109,0.054,1.61,"13_1"
"205","Veigar","Mage","MID","A",48.64,"-2.64",0.4976,0.7675,0.0357,0.0202,2.29,"13_1"
"206","Veigar","Mage","ADC","D",26.63,"-3.73",0.4952,0.1222,0.0049,0.0202,2.32,"13_1"
"207","Vel'Koz","Mage","MID","B",43.57,"-6.66",0.5071,0.3512,0.0106,0.0051,2.64,"13_1"
"208","Vel'Koz","Mage","SUPPORT","B",42.77,"-1.85",0.5143,0.6037,0.0204,0.0051,2.25,"13_1"
"209","Vex","Mage","MID","S",57.42,"2.3",0.5127,0.9412,0.0479,0.0657,2.47,"13_1"
"210","Vi","Fighter","JUNGLE","S",59.27,"2.89",0.5182,0.9607,0.0596,0.0149,2.58,"13_1"
"211","Viego","Assassin","JUNGLE","A",56.68,"-11.21",0.4824,0.9219,0.0725,0.0271,2.41,"13_1"
"212","Viktor","Mage","MID","S",58.97,"3.79",0.511,0.9585,0.0576,0.0289,2.32,"13_1"
"213","Vladimir","Mage","MID","A",51.63,"2.55",0.4994,0.774,0.0407,0.0468,2.41,"13_1"
"214","Vladimir","Mage","TOP","C",38.89,"5.78",0.4859,0.2074,0.0105,0.0468,2.04,"13_1"
"215","Volibear","Fighter","JUNGLE","C",40.79,"3.38",0.5026,0.4529,0.0174,0.0095,2.67,"13_1"
"216","Volibear","Fighter","TOP","C",39.31,"2.77",0.4832,0.5091,0.0181,0.0095,1.78,"13_1"
"217","Warwick","Fighter","JUNGLE","A",50.9,"-25.26",0.4982,0.5749,0.0477,0.0712,2.21,"13_1"
"218","Warwick","Fighter","TOP","A",48.69,"-3.81",0.5136,0.4001,0.0251,0.0712,1.84,"13_1"
"219","Wukong","Fighter","JUNGLE","S",58.65,"5.14",0.5141,0.7735,0.0562,0.0271,2.8,"13_1"
"220","Wukong","Fighter","TOP","B",45.81,"2.51",0.5142,0.1879,0.0131,0.0271,2.13,"13_1"
"221","Xayah","Marksman","ADC","A",55.16,"14.43",0.5181,0.9864,0.0854,0.0124,2.51,"13_1"
"222","Xerath","Mage","SUPPORT","A",51.38,"2.56",0.5154,0.6916,0.0372,0.0311,2.63,"13_1"
"223","Xerath","Mage","MID","B",47.33,"-0.79",0.5034,0.2742,0.0136,0.0311,3.3,"13_1"
"224","Xin Zhao","Fighter","JUNGLE","B",41.96,"4.88",0.5103,0.882,0.0215,0.0028,2.3,"13_1"
"225","Yasuo","Fighter","MID","God",83.58,"14.87",0.4944,0.7219,0.1173,0.1986,1.75,"13_1"
"226","Yasuo","Fighter","TOP","B",42.05,"-1.28",0.4793,0.1665,0.026,0.1986,1.49,"13_1"
"227","Yasuo","Fighter","ADC","D",29.58,"-2.32",0.502,0.1002,0.0146,0.1986,2,"13_1"
"228","Yone","Assassin","MID","God",67.9,"6.47",0.5042,0.638,0.0852,0.1053,1.94,"13_1"
"229","Yone","Assassin","TOP","A",48.63,"-4.59",0.4825,0.3351,0.0434,0.1053,1.63,"13_1"
"230","Yorick","Fighter","TOP","B",47.71,"0.62",0.5101,0.8994,0.0302,0.0271,1.56,"13_1"
"231","Yuumi","Support","SUPPORT","S",64.45,"-25.55",0.4444,0.9881,0.0796,0.1986,3.88,"13_1"
"232","Zac","Tank","JUNGLE","God",70.73,"7.78",0.5212,0.6942,0.0649,0.1477,3.53,"13_1"
"233","Zac","Tank","TOP","A",53.65,"2.22",0.5324,0.1356,0.0129,0.1477,2.73,"13_1"
"234","Zed","Assassin","MID","God",88.26,"1.05",0.4868,0.7739,0.1,0.369,2.22,"13_1"
"235","Zed","Assassin","JUNGLE","D",34.73,"-23.06",0.4436,0.1828,0.0227,0.369,2.31,"13_1"
"236","Zeri","Marksman","ADC","B",45.13,"-14.49",0.4984,0.9518,0.0655,0.0245,2.49,"13_1"
"237","Ziggs","Mage","MID","B",43.49,"-4.52",0.5044,0.5628,0.014,0.0023,2.51,"13_1"
