,0,1,2
0,0.0,0.0,0.0
1,0.05,14541.0,288308.0
2,0.1,55229.0,548334.0
3,0.15000000000000002,190654.0,1243392.0
4,0.2,344621.0,1655379.0
5,0.25,421315.0,1578685.0
6,0.30000000000000004,494945.0,1505055.0
7,0.35000000000000003,570727.0,1429273.0
8,0.4,645804.0,1354196.0
9,0.45,720987.0,1279013.0
10,0.5,800749.0,1199251.0
11,0.55,883509.0,1116491.0
12,0.6000000000000001,968229.0,1031771.0
13,0.65,1059860.0,940140.0
14,0.7000000000000001,1156619.0,843381.0
15,0.75,1263095.0,736905.0
16,0.8,1379246.0,620754.0
17,0.8500000000000001,1507580.0,492420.0
18,0.9,1650276.0,349724.0
19,0.9500000000000001,1813585.0,186415.0
